time,[depth_sim_node_depth]depth_m,[data_collector]rpm_NAN,[data_collector]roll_rad,[data_collector]pitch_rad,[data_collector]yaw_rad,[data_collector]v_eb_b_x_m/s,[data_collector]v_eb_b_y_m/s,[data_collector]v_eb_b_z_m/s,[data_collector]lat_rad,[data_collector]lon_rad,[data_collector]alt_m,[data_collector]lat0_rad,[data_collector]lon0_rad,[data_collector]alt0_m,[data_collector]r_b_n_m,[data_collector]r_b_e_m,[data_collector]r_b_d_m,[data_collector]w_ib_b_x_rad/s,[data_collector]w_ib_b_y_rad/s,[data_collector]w_ib_b_z_rad/s,[data_collector]f_ib_b_x_m/s^2,[data_collector]f_ib_b_y_m/s^2,[data_collector]f_ib_b_z_m/s^2,[data_collector]fault_gen/depth_sensor_zero_NAN
1679449597.7591925,-0.039566420,277.76,1.9916666898976366e-12,-3.5674716417409057e-07,0.7853981633808315,0.0003922465193446115,1.3193172005153256e-10,-3.544159458190388e-08,0.6467836953279937,-1.406986268183716,2.400545833210873e-09,0.6467836953250381,-1.4069862681874037,0.0,1.879399122694857e-05,1.8793997855513236e-05,-2.401404016480833e-09,4.1148693797311295e-05,-4.641262497490538e-05,-4.394446511244643e-05,0.004120234869735145,-3.1141925679203276e-08,-9.799105678984239,False
1679449597.8091924,-0.017619953,277.76,1.9916666898976366e-12,-3.5674716417409057e-07,0.7853981633808315,0.0003922465193446115,1.3193172005153256e-10,-3.544159458190388e-08,0.6467836953279937,-1.406986268183716,2.400545833210873e-09,0.6467836953250381,-1.4069862681874037,0.0,1.879399122694857e-05,1.8793997855513236e-05,-2.401404016480833e-09,4.1148693797311295e-05,-4.641262497490538e-05,-4.394446511244643e-05,0.004120234869735145,-3.1141925679203276e-08,-9.799105678984239,False
1679449597.8591924,-0.047770272,277.76,2.7292557682004893e-12,-4.149166949641802e-07,0.7853981633746718,0.00043348380898922454,1.7374797567915653e-10,-3.9140506828777476e-08,0.6467836953284758,-1.4069862681831145,2.790152304805146e-09,0.6467836953250381,-1.4069862681874037,0.0,2.1859183407222872e-05,2.1859192492853107e-05,-2.7912626435728564e-09,4.1148708960780185e-05,-4.696567468511729e-05,-4.394461919791376e-05,0.004119663155523059,-3.394017666351995e-08,-9.799105674327931,False
1679449597.9091923,0.022000930,307.2,3.6832981331216886e-12,-4.798514228313344e-07,0.7853981633667018,0.00048392590586239607,2.2481857562268447e-10,-4.3665336759692424e-08,0.6467836953290139,-1.406986268182443,3.2244835470572817e-09,0.6467836953250381,-1.4069862681874037,0.0,2.5281054713992662e-05,2.528106697888181e-05,-3.225908121795057e-09,4.1148727735873603e-05,-4.764220230844902e-05,-4.3944807138874195e-05,0.005039507576572873,-3.7457095434936016e-08,-9.79910575214737,False
1679449597.9591923,0.038094981,307.2,3.6832981331216886e-12,-4.798514228313344e-07,0.7853981633667018,0.00048392590586239607,2.2481857562268447e-10,-4.3665336759692424e-08,0.6467836953290139,-1.406986268182443,3.2244835470572817e-09,0.6467836953250381,-1.4069862681874037,0.0,2.5281054713992662e-05,2.528106697888181e-05,-3.225908121795057e-09,4.1148727735873603e-05,-4.764220230844902e-05,-4.3944807138874195e-05,0.005039507576572873,-3.7457095434936016e-08,-9.79910575214737,False
1679449598.0091922,-0.010433343,334.75584000000003,4.9069795611132365e-12,-5.528195053937683e-07,0.7853981633564753,0.0005438231706893543,2.884663352620959e-10,-4.903570575951305e-08,0.6467836953296187,-1.4069862681816885,3.7118342440899017e-09,0.6467836953250381,-1.4069862681874037,0.0,2.9126463192119932e-05,2.912647953630265e-05,-3.7136556361678813e-09,4.114875147339219e-05,-4.844554717732804e-05,-4.394504078801653e-05,0.00598430935054569,-4.147535451885267e-08,-9.799105830945722,False
1679449598.0591922,-0.052129226,334.75584000000003,4.9069795611132365e-12,-5.528195053937683e-07,0.7853981633564753,0.0005438231706893543,2.884663352620959e-10,-4.903570575951305e-08,0.6467836953296187,-1.4069862681816885,3.7118342440899017e-09,0.6467836953250381,-1.4069862681874037,0.0,2.9126463192119932e-05,2.912647953630265e-05,-3.7136556361678813e-09,4.114875147339219e-05,-4.844554717732804e-05,-4.394504078801653e-05,0.00598430935054569,-4.147535451885267e-08,-9.799105830945722,False
1679449598.1091921,-0.024972767,334.75584000000003,6.470810984386397e-12,-6.33819305685854e-07,0.7853981633434014,0.0006037204015482061,3.6878433909358e-10,-5.439015411457985e-08,0.64678369533029,-1.4069862681808507,4.2519092887781905e-09,0.6467836953250381,-1.4069862681874037,0.0,3.3395408483561756e-05,3.3395430042792786e-05,-4.254219693175778e-09,4.114878190910277e-05,-4.924872834953463e-05,-4.3945333864781375e-05,0.005983512228689733,-4.508770106927109e-08,-9.799105823501865,False
1679449598.159192,-0.013681490,362.31168,8.453661219082731e-12,-7.242275110955252e-07,0.7853981633268184,0.0006738845130564739,4.677681518078242e-10,-6.065805261732062e-08,0.6467836953310394,-1.4069862681799157,4.8536093579146316e-09,0.6467836953250381,-1.4069862681874037,0.0,3.8160488265658144e-05,3.816051643961475e-05,-4.856529009207053e-09,4.1148819814848704e-05,-5.01895798715979e-05,-4.3945694358310704e-05,0.0070093143747350555,-4.940695528551827e-08,-9.79910590786963,False
1679449598.209192,0.018430388,362.31168,8.453661219082731e-12,-7.242275110955252e-07,0.7853981633268184,0.0006738845130564739,4.677681518078242e-10,-6.065805261732062e-08,0.6467836953310394,-1.4069862681799157,4.8536093579146316e-09,0.6467836953250381,-1.4069862681874037,0.0,3.8160488265658144e-05,3.816051643961475e-05,-4.856529009207053e-09,4.1148819814848704e-05,-5.01895798715979e-05,-4.3945694358310704e-05,0.0070093143747350555,-4.940695528551827e-08,-9.79910590786963,False
